date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,TGT,WMT,GPS,COST
12/31/2019,0,0,0,0,,,111.7774001,117.3917005,17.07109998,293.2155994
1/1/2020,0,0,0,0,,,#N/A,#N/A,#N/A,#N/A
1/2/2020,0,0,0,0,,,112.2140001,117.5083005,17.0658,293.3910992
1/3/2020,0,0,0,0,,,112.6413001,117.6350005,17.06560002,293.5952994
1/4/2020,0,0,0,0,,,#N/A,#N/A,#N/A,#N/A
1/5/2020,0,0,0,0,,,#N/A,#N/A,#N/A,#N/A
1/6/2020,0,0,0,0,,,113.0347001,117.7374004,17.06890002,293.7507992
1/7/2020,0,0,0,0,,,113.4538002,117.8410005,17.08390002,293.9827994
1/8/2020,0,0,0,0,,,113.8622002,117.8757005,17.11100002,294.2144995
1/9/2020,0,0,0,0,,,114.2551002,117.9194005,17.12560002,294.4676996
1/10/2020,0,0,0,0,,,114.6366002,117.9451005,17.13690001,294.6839996
1/11/2020,0,0,0,0,,,#N/A,#N/A,#N/A,#N/A
1/12/2020,0,0,0,0,,,#N/A,#N/A,#N/A,#N/A
1/13/2020,0,0,0,0,,,115.0200003,117.9834004,17.15360002,294.9529996
1/14/2020,0,0,0,0,,,115.2426003,118.0250005,17.16540002,295.1936996
1/15/2020,0,0,0,0,,,115.3494003,118.0587004,17.16710002,295.4026996
1/16/2020,0,0,0,0,,,115.4777003,118.1094004,17.18400003,295.6928995
1/17/2020,0,0,0,0,,,115.5992003,118.1391004,17.20550005,295.9550995
1/18/2020,0,0,0,0,,,#N/A,#N/A,#N/A,#N/A
1/19/2020,0,0,0,0,,,#N/A,#N/A,#N/A,#N/A
1/20/2020,0,0,0,0,,,#N/A,#N/A,#N/A,#N/A
1/21/2020,1,1,0,0,,,115.6926004,118.1708004,17.23120005,296.1638995
1/22/2020,1,0,0,0,,,115.7676004,118.2046004,17.25220004,296.3378998
1/23/2020,1,0,0,0,,,115.8436004,118.2219003,17.27120003,296.5009998
1/24/2020,1,0,0,0,,,115.9164003,118.2230003,17.28990003,296.6584998
1/25/2020,2,1,0,0,,,#N/A,#N/A,#N/A,#N/A
1/26/2020,2,0,0,0,,,#N/A,#N/A,#N/A,#N/A
1/27/2020,5,3,0,0,,,116.0071003,118.2352004,17.31090004,296.8325
1/28/2020,5,0,0,0,,,116.0879004,118.2421003,17.33110002,296.9798001
1/29/2020,5,0,0,0,,,116.1452003,118.2466003,17.34230003,297.1059
1/30/2020,5,0,0,0,,,116.1934003,118.2651003,17.35490003,297.1629999
1/31/2020,6,1,0,0,,,116.2213003,118.2467002,17.34940004,297.2281998
2/1/2020,7,1,0,0,,,#N/A,#N/A,#N/A,#N/A
2/2/2020,8,1,0,0,,,#N/A,#N/A,#N/A,#N/A
2/3/2020,11,3,0,0,,,116.2581003,118.2289002,17.34010006,297.2781998
2/4/2020,11,0,0,0,,,116.3009003,118.2214002,17.32560005,297.4202997
2/5/2020,11,0,0,0,,,116.3668003,118.2203002,17.32060005,297.6108997
2/6/2020,12,1,0,0,,,116.4383003,118.2091001,17.31310005,297.7979996
2/7/2020,12,0,0,0,,,116.5248003,118.2179001,17.30610006,298.0473996
2/8/2020,12,0,0,0,,,#N/A,#N/A,#N/A,#N/A
2/9/2020,12,0,0,0,,,#N/A,#N/A,#N/A,#N/A
2/10/2020,12,0,0,0,,,116.6218004,118.2053001,17.30060007,298.2711996
2/11/2020,13,1,0,0,,,116.7190004,118.1877001,17.29750005,298.4536996
2/12/2020,13,0,0,0,,,116.8214003,118.1751,17.30670003,298.7265997
2/13/2020,14,1,0,0,,,116.9375004,118.1797,17.31810002,299.045
2/14/2020,15,1,0,0,,,117.0160003,118.1824,17.3251,299.3523999
2/15/2020,15,0,0,0,,,#N/A,#N/A,#N/A,#N/A
2/16/2020,15,0,0,0,,,#N/A,#N/A,#N/A,#N/A
2/17/2020,15,0,0,0,,,#N/A,#N/A,#N/A,#N/A
2/18/2020,15,0,0,0,,,117.1198004,118.1946999,17.3273,299.6937997
2/19/2020,15,0,0,0,,,117.2257003,118.1867999,17.3268,300.0388995
2/20/2020,15,0,0,0,,,117.3454004,118.1806999,17.33159999,300.3970993
2/21/2020,16,1,0,0,,,117.4543003,118.182,17.33039998,300.7570993
2/22/2020,35,19,0,0,,,#N/A,#N/A,#N/A,#N/A
2/23/2020,35,0,0,0,,,#N/A,#N/A,#N/A,#N/A
