Date,TGT,WMT,GPS,COST
12/31/2019,111.7774001,117.3917005,17.07109998,293.2155994
1/2/2020,112.2140001,117.5083005,17.0658,293.3910992
1/3/2020,112.6413001,117.6350005,17.06560002,293.5952994
1/6/2020,113.0347001,117.7374004,17.06890002,293.7507992
1/7/2020,113.4538002,117.8410005,17.08390002,293.9827994
1/8/2020,113.8622002,117.8757005,17.11100002,294.2144995
1/9/2020,114.2551002,117.9194005,17.12560002,294.4676996
1/10/2020,114.6366002,117.9451005,17.13690001,294.6839996
1/13/2020,115.0200003,117.9834004,17.15360002,294.9529996
1/14/2020,115.2426003,118.0250005,17.16540002,295.1936996
1/15/2020,115.3494003,118.0587004,17.16710002,295.4026996
1/16/2020,115.4777003,118.1094004,17.18400003,295.6928995
1/17/2020,115.5992003,118.1391004,17.20550005,295.9550995
1/21/2020,115.6926004,118.1708004,17.23120005,296.1638995
1/22/2020,115.7676004,118.2046004,17.25220004,296.3378998
1/23/2020,115.8436004,118.2219003,17.27120003,296.5009998
1/24/2020,115.9164003,118.2230003,17.28990003,296.6584998
1/27/2020,116.0071003,118.2352004,17.31090004,296.8325
1/28/2020,116.0879004,118.2421003,17.33110002,296.9798001
1/29/2020,116.1452003,118.2466003,17.34230003,297.1059
1/30/2020,116.1934003,118.2651003,17.35490003,297.1629999
1/31/2020,116.2213003,118.2467002,17.34940004,297.2281998
2/3/2020,116.2581003,118.2289002,17.34010006,297.2781998
2/4/2020,116.3009003,118.2214002,17.32560005,297.4202997
2/5/2020,116.3668003,118.2203002,17.32060005,297.6108997
2/6/2020,116.4383003,118.2091001,17.31310005,297.7979996
2/7/2020,116.5248003,118.2179001,17.30610006,298.0473996
2/10/2020,116.6218004,118.2053001,17.30060007,298.2711996
2/11/2020,116.7190004,118.1877001,17.29750005,298.4536996
2/12/2020,116.8214003,118.1751,17.30670003,298.7265997
2/13/2020,116.9375004,118.1797,17.31810002,299.045
2/14/2020,117.0160003,118.1824,17.3251,299.3523999
2/18/2020,117.1198004,118.1946999,17.3273,299.6937997
2/19/2020,117.2257003,118.1867999,17.3268,300.0388995
2/20/2020,117.3454004,118.1806999,17.33159999,300.3970993
2/21/2020,117.4543003,118.182,17.33039998,300.7570993
2/24/2020,117.5230003,118.1584,17.31969998,301.0121994
2/25/2020,117.5808003,118.1238,17.30279999,301.2215994
2/26/2020,117.6358003,118.1003999,17.28529998,301.4273996
2/27/2020,117.6258003,118.0413,17.26209998,301.4686996
2/28/2020,117.5648003,117.9364999,17.24309998,301.3633997
3/2/2020,117.5759003,117.9229999,17.21769998,301.5206998
3/3/2020,117.5491003,117.8762999,17.19569998,301.6290997
3/4/2020,117.5237003,117.8546999,17.17579998,301.8674997
3/5/2020,117.4777003,117.8177998,17.14289998,302.0536996
3/6/2020,117.4189003,117.7876999,17.10329998,302.1910995
3/9/2020,117.3477002,117.7676,17.05069997,302.2356998
3/10/2020,117.3121003,117.7702,17.00179997,302.3457996
3/11/2020,117.2460003,117.7203,16.93599998,302.3322995
3/12/2020,117.0399003,117.5624001,16.86099998,302.1067996
3/13/2020,116.9220002,117.5120001,16.80029999,302.1008997
3/16/2020,116.7231003,117.3822001,16.71009998,301.9218997
3/17/2020,116.6275002,117.3790001,16.61499997,301.9920996
3/18/2020,116.5421002,117.4113001,16.51829998,302.0938995
3/19/2020,116.4446002,117.4148001,16.42579998,302.1755997
3/20/2020,116.3284002,117.3641001,16.32469998,302.1147998
3/23/2020,116.1981003,117.3147001,16.21549997,301.9806998
3/24/2020,116.1222002,117.2935001,16.12599997,301.8714999
3/25/2020,115.9533002,117.2065001,16.04699998,301.6816998
3/26/2020,115.8449002,117.1321001,15.96889998,301.6335999
3/27/2020,115.7141002,117.0517001,15.87739997,301.5159998
3/30/2020,115.5865002,117.0279001,15.77619996,301.4589996
3/31/2020,115.4156002,116.9755001,15.66729996,301.3184998
4/1/2020,115.2632002,116.9219001,15.54889996,301.1705997
4/2/2020,115.1009002,116.9061001,15.42329997,301.0332999
4/3/2020,114.9251002,116.9065001,15.31299997,300.8935999
4/6/2020,114.7957003,116.9768001,15.20799997,300.9363999
4/7/2020,114.6948003,117.0055001,15.10609997,300.9676999
4/8/2020,114.6553003,117.0141,15.01719997,300.9984
4/9/2020,114.5862002,117.0256,14.93659997,300.9526001
4/13/2020,114.5009002,117.0899,14.84249997,300.9122
4/14/2020,114.4651002,117.1774,14.75379998,301.0082001
4/15/2020,114.4190002,117.2661,14.66309997,301.0885001
4/16/2020,114.2477002,117.3981,14.57659996,301.2984
4/17/2020,114.1054002,117.5206999,14.49789997,301.4749002
4/20/2020,113.9250003,117.6256,14.40689996,301.6026001
4/21/2020,113.7421003,117.7285001,14.31089996,301.6254001
4/22/2020,113.5416002,117.8525,14.21189996,301.7072003
4/23/2020,113.3212002,117.9502,14.11379996,301.7536002
4/24/2020,113.1493002,118.0537001,14.01669995,301.8610001
4/27/2020,113.0083001,118.1439001,13.93269994,301.9748999
4/28/2020,112.8879001,118.2372001,13.86179994,302.0676999
4/29/2020,112.7637001,118.2863001,13.79179995,302.1734
4/30/2020,112.6143001,118.3152001,13.70999996,302.2723999
5/1/2020,112.4463002,118.3466001,13.62559996,302.3420999
5/4/2020,112.2989002,118.39,13.54119997,302.4353998
5/5/2020,112.1588002,118.4459001,13.44939998,302.5567999
5/6/2020,112.0366002,118.4889001,13.35939998,302.6927002
5/7/2020,111.8950003,118.5102001,13.26339998,302.7693002
5/8/2020,111.7811003,118.5367001,13.17749997,302.9100003
5/11/2020,111.7233003,118.568,13.08369998,303.0783002
5/12/2020,111.6334002,118.593,12.98369998,303.1712003
5/13/2020,111.5440002,118.6315,12.87579998,303.2739005
5/14/2020,111.4564002,118.6649,12.76949999,303.3342005
5/15/2020,111.3743003,118.7214,12.66959999,303.3780005
5/18/2020,111.3429003,118.8077,12.57119999,303.4725006
5/19/2020,111.2891003,118.8621,12.4709,303.5765006
5/20/2020,111.1965003,118.9214,12.365,303.6683005
5/21/2020,111.0912002,118.9754,12.2686,303.7469006
5/22/2020,110.9772002,119.0247,12.1725,303.8198004
5/26/2020,110.8463001,119.0749001,12.085,303.9286002
5/27/2020,110.7597002,119.1103001,12.01789999,304.0738004
5/28/2020,110.6964002,119.1683001,11.93939998,304.2521002
5/29/2020,110.6839002,119.2324001,11.84559997,304.4187003
6/1/2020,110.6408001,119.3064001,11.76419996,304.5881003
6/2/2020,110.5953001,119.3842,11.68999996,304.7121002
6/3/2020,110.5776001,119.4453,11.63519996,304.7843003
6/4/2020,110.5299001,119.5026001,11.57859997,304.9194004
6/5/2020,110.5065,119.5594001,11.52189997,305.0411005
6/8/2020,110.4776,119.6100001,11.47699998,305.1155005
6/9/2020,110.5148,119.6707001,11.42249998,305.1628003
6/10/2020,110.5516,119.7233001,11.34669997,305.2058002
6/11/2020,110.5625001,119.7746001,11.26279996,305.1673002
6/12/2020,110.5911001,119.7961001,11.18669996,305.0217002
6/15/2020,110.6336001,119.8159001,11.11199997,304.8746
6/16/2020,110.6704001,119.8543002,11.04769998,304.7593998
6/17/2020,110.7099001,119.9009001,10.97869998,304.6503995
6/18/2020,110.7251001,119.9222001,10.91089997,304.5515995
6/19/2020,110.7763001,119.9547001,10.83619998,304.4420993
6/22/2020,110.8579001,120.0126001,10.77049997,304.3507996
6/23/2020,110.9262001,120.0575001,10.70419996,304.2689997
6/24/2020,111.0160001,120.1156001,10.63429996,304.1939997
6/25/2020,111.0890001,120.1700001,10.56139995,304.1792997
6/26/2020,111.1267001,120.2005002,10.50409996,304.0958997
6/29/2020,111.1571001,120.2230002,10.44239996,304.0222995
6/30/2020,111.2050001,120.2577002,10.38369996,303.9482996
7/1/2020,111.2385001,120.2901002,10.32989996,303.8594995
7/2/2020,111.2599001,120.3297002,10.27609996,303.7789994
7/6/2020,111.2854,120.3646002,10.22489997,303.7870993
7/7/2020,111.2849,120.4756002,10.15999998,303.7981995
7/8/2020,111.2791,120.5456002,10.09989998,303.7793994
7/9/2020,111.2918,120.6442002,10.03619999,303.8516995
7/10/2020,111.3021,120.7547002,9.97869999,303.8934998
7/13/2020,111.3155001,120.8731002,9.91869999,303.8925
7/14/2020,111.3337001,121.0163001,9.8555,303.9317001
7/15/2020,111.3803,121.1505001,9.81060001,303.9792001
7/16/2020,111.462,121.3093001,9.7784,304.1057001
7/17/2020,111.5615,121.4828001,9.7536,304.3049002
7/20/2020,111.6530999,121.6597002,9.7307,304.5131003
7/21/2020,111.7988999,121.8790002,9.7165,304.8592002
7/22/2020,112.0002999,122.1288002,9.7015,305.3307999
7/23/2020,112.1331999,122.2864002,9.6916,305.5004996
7/24/2020,112.3118999,122.4697002,9.6796,305.7309995
7/27/2020,112.4605999,122.6141003,9.6655,305.7995996
7/28/2020,112.6337999,122.7725003,9.6625,305.9176996
7/29/2020,112.8110999,122.9071003,9.6721,306.0656998
7/30/2020,113.0166,123.0367002,9.6907,306.2940997
7/31/2020,113.1920999,123.1328001,9.7001,306.4553998
8/3/2020,113.4146999,123.2815002,9.7215,306.7742999
8/4/2020,113.7929998,123.5574001,9.7553,307.3737
8/5/2020,114.0764998,123.7145001,9.786,307.7507001
8/6/2020,114.4286997,123.9404002,9.8393,308.3520001
8/7/2020,114.7098998,124.0475001,9.8966,308.6912003
8/10/2020,115.0110998,124.1405002,9.9641,309.0162003
8/11/2020,115.3232998,124.2480002,10.0336,309.2883002
8/12/2020,115.6952998,124.4272002,10.1129,309.7517002
8/13/2020,116.0764998,124.6029002,10.1984,310.2534003
8/14/2020,116.4361998,124.7786003,10.2679,310.7668003
8/17/2020,116.9081998,125.0406003,10.332,311.3578003
8/18/2020,117.3164998,125.2895004,10.3971,311.8423004
8/19/2020,117.9112998,125.5178004,10.468,312.4080005
8/20/2020,118.4735998,125.6716005,10.5396,312.9055005
8/21/2020,119.0801999,125.8517005,10.6135,313.5003003
